"","Countryname","Country","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","RELIABILITY_SCORE_EXISTING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"152","North Macedonia","MKD",2.47777359338634,7.00138808553046,1.33512440911938,4.43280101036451,10,7.86129760281342,7.86129760281342,2.97380977608324,4.05214484048208,9.2,0,2.37993561211819,2,6.18,3.61244019138756,1.98874296435272,NA,3.125,1.5,NA,0,1,10,2.44808055380743,9.2,8.25641025641026,0,2.37993561211819,1,2,4.43280101036451,0.2,0.4
"153","Philippines","PHL",2.94134855263186,6.50139650880964,1.86376224974689,8.43608568653542,7.19424373072963,5.69755035080867,5.6771658346105,4.77121686731279,6.98009440662577,10,10,8.38400668916173,3,4.48,7.20095693779904,5.34709193245778,NA,7.70833333333333,8.5,7.90780141843971,0,1.5,7.246,3.16131739039228,10,9.11181601903251,10,8.88888888888889,2,3.5,8.99966222528256,0.1,0.2
"154","Portugal","PRT",4.22013776896587,8.66589694109492,0.866388391537939,1.92091471462464,6.90065559342353,4.40454310910905,3.65886209787164,0,6.54039260745578,10,0,1.00545906897435,1,1.94,0,4.27767354596623,NA,1.875,1,1.34680134680135,0,0,10,0.853786448500104,10,10,0,0.750628844991697,3,3,2.73976065558964,0.2,0.4
"155","Qatar","QAT",1.23294120473637,3.5814563247447,1.97107451487127,5.16542836831431,4.87950036474266,7.58946638440411,5.30150187219789,0,0,10,0,5.36717657266276,2,5.76,0,0,NA,6.04166666666667,0,3.7037037037037,0,0.5,10,3.4130480385987,10,6.67263502976873,0,7.77777777777778,2,2.5,7.20404556161028,0.1,0.2
"156","Saint Kitts and Nevis","KNA",0.0258198889747319,10,0.550888613994947,1.29299157305672,0.000666666666667481,0.0764198926982179,0.0764198926982179,4.88210176980187,6.39535478701396,10,2.06790741111334,0.167182720799568,1,8.76,4.01913875598086,4.09005628517824,NA,5.20833333333333,0.625,NA,0,0,0.000666666666667481,5.93035452066289,10,10,2.06790741111334,0.167182720799568,2,2,1.29299157305672,0.2,0.5
"157","Saint Vincent and the Grenadines","VCT",0.136122210334174,5.33668863934357,0.938349753531811,2.21528946385326,0.515000000000001,1.95217827054806,1.95217827054806,6.31322426275099,7.41213329331068,10,1.46754719498366,0.82621720191179,2,7.4,4.47368421052631,9.24953095684803,10,8.54166666666667,0.5,NA,1,1.5,0.515000000000001,8.90916719110552,10,5.93973037272006,1.46754719498366,0.82621720191179,1,1.5,2.21528946385326,0.1,0.4
"158","Singapore","SGP",0.306338255313065,0,0.815284202992932,1.2686717196156,2.01163283594861,2.31968799215592,2.13220313507974,0,1.9121012619285,0,0,0,0,2.26,0,0.938086303939961,NA,3.54166666666667,0,0,0,0,2.38095238095237,0.895741556534508,0,3.8974358974359,0,0.66468833164982,0,0,1.6095279321524,0.2,0.5
"159","Slovenia","SVN",2.75646599115779,8.05266094263813,0.581247925998465,0.556272365555611,7.97567731113968,2.23318964711911,2.11338101019154,0.726015622307215,4.41726104299386,10,0,0.238488912799321,1,0.559999999999999,0.215311004784688,1.95121951219512,NA,0.625,1.125,0.16835016835017,0,0.5,8.9056,2.44808055380743,10,10,0,0.337849151477517,2,2.5,1.83806733140415,0.2,0.4
"160","Sweden","SWE",1.93560056069591,0,0.281817379736002,0.913533043895596,4.87950036474266,0,0,1.43014387971181,4.79933607762282,10,0,0,1,0,1.55502392344497,2.62664165103189,NA,0,0,0,0,0.5,10,1.31529263687854,10,8.76923076923077,0,0.0794210355212659,2,2.5,0.834542622289152,0.2,0.4
"161","Switzerland","CHE",3.97100639475404,0,1,1.6470406669282,4.87950036474266,2.44948974278318,1.71105237174249,0,0,10,0,0,1,0.600000000000001,0,0,NA,3.54166666666667,0.25,0,0,0.5,10,0.140549611915251,10,7.35897435897436,0,0,2,2.5,2.7127429585153,0.2,0.4
"162","Thailand","THA",0.208944225787205,5.97140251338409,4.02640901380218,7.8702375850822,6.35317336386968,0,0,2.66107678878522,5.54700196225229,10,3.76225735441265,7.79633045632283,2,0,3.56459330143541,3.07692307692308,NA,6.875,5.625,6.31205673758865,0,0.5,10,1.98657436542899,10,10,3.76225735441265,9.62962962962963,3,3.5,9.81306762925316,0.1,0.2
"163","Tonga","TON",NA,3.10343869215737,0.345603925883127,1.82445226096085,NA,NA,NA,NA,9.81393484591142,10,3.80228136882129,0.345603925883127,2,8.98,4.52153110047847,10,NA,2.29166666666667,2.5,NA,1,1.5,NA,NA,10,9.63133171597945,3.80228136882129,0.345603925883127,1,1.5,1.82445226096085,0.3,0.6
"164","United States of America","USA",3.6541955544944,6.82275659099372,0.415832767383499,1.41263793892971,4.87950036474266,0,0,0.603445315402627,4.13479502502726,10,10,0.513485733864485,2,0,0.191387559808613,1.72607879924953,NA,0.208333333333332,6.625,1.52482269503546,0,0.5,10,1.90266414936019,10,9.90483743061063,10,0.17291689042982,3,3.5,1.3087068765442,0.2,0.3
"165","Uruguay","URY",2.07115408774443,3.60200906127633,1.36109819905131,3.53495247701561,6.34791891934083,6.40312423743284,6.03631134029851,3.57773283473757,5.17400425187803,10,0,2.99644383316997,1,5.74,3.13397129186603,4.14634146341463,NA,4.79166666666667,0,2.69360269360269,0,0.5,7.14285714285711,4.08432976714915,10,6.45637129374429,0,3.33333333333333,1,1.5,4.6390987967292,0.1,0.2
"166","Benin","BEN",0.91461010385465,2.79478806743591,2.33977575818544,6.91433938358093,0.799999999999994,7.67184090405573,2.56748904574098,3.91185040801069,8.39458936366201,8.36660026534076,3.26862784337269,6.12445332282352,3,8.24,8.61244019138756,7.5046904315197,7,5.20833333333333,1.5,6.48936170212766,0,1,7.14285714285711,1.77679882525698,10,9.3900116503856,3.26862784337269,5.78006439233401,1,2,7.36714815814066,0,0.2
"167","Canada","CAN",2.52613999572898,3.7826557163926,0.922459493254172,1.1658949638998,4.80904952767928,0,0,1.14546970138613,3.74899162209225,0,0,0.655563415902743,0,0,0.837320574162678,1.65103189493433,NA,0,2,0.505050505050505,0,0.5,4.8566610455312,1.56702328508496,0,8.51282051282051,0,0.850931516694743,0,0.5,2.69143591235691,0.2,0.4
"168","Costa Rica","CRI",4.93577299209591,5.38111442244329,1.74972831333214,3.34706311059873,6.90065559342353,7.05691150575094,5.86218942505692,1.27188071966242,4.50241133044515,1.6,1.10733106530585,3.6385121527321,1,4.98,3.39712918660287,3.63977485928705,NA,3.95833333333333,3.25,1.70212765957447,0,0.5,10,0.476190476190476,1.6,5.56949497488743,1.10733106530585,7.77777777777778,1,1.5,6.5816634864694,0.1,0.3
"169","Côte d'Ivoire","CIV",0.386142905346792,4.9117632014436,0.396955433047714,9.32328499551254,0.586003412959344,1.53930503799604,2.01082658362661,5.96811790606272,8.51231201185888,8.36660026534076,4.40264158495097,9.38620619975244,3,6.9,7.29665071770335,7.72983114446529,7,8.125,5.125,9.14893617021276,0,1,0.343399999999999,4.88147681980281,10,9.37400241131002,4.40264158495097,9.62962962962963,1,2,9.50095633966237,0,0.2
"170","Denmark","DNK",3.78630023124083,7.31433617259424,0.217309642514125,0.827372512101201,6.90065559342353,0,0,0,4.48406038292074,10,0,0,1,0,0,2.02626641651032,NA,1.875,0,0,0,0.5,10,2.40612544577302,10,9.92307692307693,0,0.0472234807296168,2,2.5,0.684545273780652,0.2,0.4
"171","Eswatini","SWZ",2.29240872081389,2.83113075860969,2.58053783967053,8.35838368981901,5.0678256819722,6.47770422294813,6.27914674185464,6.34948012631285,3.41142215282425,10,3.68220932559536,8.82363757099302,2,7.78,7.91866028708134,1.50093808630394,NA,7.29166666666667,1,8.08510638297872,0,1,5.3934,5.09125235997483,10,7.75368498605973,3.68220932559536,9.62962962962963,1,2,8.64089779366561,0.1,0.2
"172","Finland","FIN",2.32063307594473,3.69520112016819,0.556116046943338,1.23356567027136,9.75900072948531,1.61245154965971,1.59290306976482,1.16186949821487,4.10568986614332,10,0,0,1,0.26,0.885167464114833,2.25140712945591,NA,0,0,0,0,0.5,10,1.52506817705056,10,7.48717948717949,0,0.309265057667885,2,2.5,1.52168426287202,0.2,0.4
"173","Ghana","GHA",0.824822851798244,5.23207710478668,4.04500335906484,6.19032154350263,1.22357789173508,5.7321150422111,2.90563030218437,6.59285163383686,4.58964809748522,10,2.81502234674138,6.23504251692095,1,6.9,7.17703349282296,2.92682926829268,10,6.875,2.375,5.24822695035461,1,2,4.76190476190474,6.0562198447661,10,7.19716380007281,2.81502234674138,7.40740740740741,1,2,7.30152891146668,0,0.2
"174","Guinea-Bissau","GNB",1.1229106062015,7.3435424116769,2.89975287332996,9.842242048303,10,10,10,NA,9.75264724596711,10,2.54819558401708,9.9662730911108,4,10,8.66028708133971,10,NA,7.29166666666667,1.75,9.93265993265993,2,2.5,10,NA,10,9.51141283042699,2.54819558401708,10,3,3.5,9.75264724596711,0.1,0.3
"175","Indonesia","IDN",1.65061041895997,4.63652666103009,4.12500541996666,6.54127483737776,3.57198090967009,3.57238082543067,3.09401177081081,3.61190816891218,3.37941882742436,10,10,7.7184498498796,3,2.68,5.23923444976076,2.21388367729831,NA,6.45833333333333,8,5.95744680851064,0,0,4.76190476190474,2.49003566184183,10,5.15856895656193,10,10,3,3,7.18231784075442,0.1,0.2
"176","Jamaica","JAM",3.24816902613727,7.58322344027754,1.74267888495466,5.6605635938012,7.01488213932146,7.6531972777022,7.58432815366239,3.47480049205492,9.11492433042348,10,3.4554065772797,5.11876290216124,3,8.2,4.21052631578947,10,NA,8.125,2.875,4.71631205673759,1,2,7.14285714285711,2.86763163415146,10,8.3081845549346,3.4554065772797,5.55555555555556,1,2,6.79386347086455,0.1,0.2
"177","Korea Republic of","KOR",1.45480641391406,2.43972740266807,3.47146276075151,1.72161969489286,7.19009950308042,8.50744046172975,8.47944544358911,2.19937110359534,0.990647563410435,10,0,2.23341736724269,2,10,8.63636363636363,0.375234521575983,NA,6.45833333333333,3.375,0.673400673400673,1,2,7.23765432098765,0.560100692259283,10,2.61538461538461,0,7.40740740740741,1,2,4.40150194515683,0.1,0.4
"178","Kyrgyzstan","KGZ",1.01843398911031,7.91109036505238,2.05414016382977,9.30990204209091,2.21133443874959,3.1396087108337,3.02571059032805,3.19881685801003,8.02201473760061,8.36660026534076,10,8.66742760333285,4,4.14,3.73205741626794,6.43527204502814,7,1.04166666666667,4.625,NA,0,0.5,2.38095238095237,2.74176631004825,10,10,10,8.66742760333285,3,3.5,9.30990204209091,0.1,0.3
"179","Lao PDR","LAO",0.104893816562503,4.30589283956185,1.7797963298532,7.77115405387102,0.138013111868494,5.06152621439892,0.861690513962232,5.12717137569139,6.02177510650062,4.69041575982343,5.33653525448603,7.50358437854874,1,5.38,8.66028708133971,4.05253283302064,10,1.04166666666667,2.5,7.23905723905724,1,2,4.76190476190474,3.03545206628907,2.2,8.94792884533944,5.33653525448603,7.77777777777778,0,1,8.34236190358689,0,0.3
"180","Liechtenstein","LIE",0.177780501239554,NA,1,1,1.4984,2.81807026172166,2.81807026172166,NA,NA,NA,NA,0,0,5.3,NA,NA,NA,2.29166666666667,0,NA,0,0,1.4984,0.685966016362492,NA,NA,NA,0,0,0,1,0.7,0.8
"181","Marshall Islands","MHL",NA,1.84615384615384,0.355762672605408,0.810427434350815,NA,NA,NA,NA,4.29668924423659,3.2,0.213461410179441,0.355762672605408,0,10,NA,10,NA,8.54166666666667,1.25,NA,2,2,NA,NA,3.2,1.84615384615384,0.213461410179441,0.355762672605408,0,0,0.810427434350815,0.4,0.7
"182","Namibia","NAM",2.09721653465192,2.23892798843392,1.95054397015586,5.39773670519905,3.10248287666508,8.13773629457234,4.62007382965421,3.71034977773852,4.20734860359317,10,6.24374624774865,5.8447203954665,2,6.88,9.2822966507177,3.86491557223264,NA,1.875,1.75,5.42553191489362,0,0.5,9.6254,1.48311306901615,10,4.58012133546597,6.24374624774865,6.2962962962963,1,1.5,5.37008389143801,0.1,0.2
"183","Nepal","NPL",2.61264694937589,4.75073416249394,1.77541782010349,7.35417185083934,6.52146638491096,7.89555419207544,6.74683891660965,5.5896161191539,5.49755338700568,2.89827534923789,4.20252151290775,8.47747676452989,2,6.98,9.04306220095694,6.00375234521576,3,7.29166666666667,5.75,8.08510638297872,0,1,8.9312,3.4550031466331,2.8,5.03403396828345,4.20252151290775,8.88888888888889,0,1,6.68931749933908,0,0.3
"184","Norway","NOR",0.456402675118824,0,1,1.68849066446705,6.55622849737776,3.20713490294909,2.66096350541829,0,2.81601779515669,10,0,0,1,1.08,0,0.97560975609756,NA,0,0,0,0,1,9.52380952380948,2.53199076987623,10,8.12820512820513,0,0,1,2,2.85100072399239,0.2,0.4
"185","Paraguay","PRY",3.09648926189236,0.788958727915465,2.76976823343738,6.88361545576067,6.90065559342353,8.28251169633946,6.88029776760319,3.86517549838274,0,10,0,6.6489125295088,2,6.86,5.28708133971292,0,NA,3.54166666666667,1.375,5.42553191489362,0,1,10,2.82567652611705,10,9.36101287323655,0,8.14814814814815,2,3,8.73355138004314,0.1,0.2
"186","Russian Federation","RUS",1.85912972910443,7.40775061494465,6.77671223905414,7.89630250943491,2.92602118926026,6.63374886470689,3.87811151371357,2.57883432558436,2.82155299309056,10,2.57487826028951,8.30804243029422,2,5.14,2.58373205741627,0.97560975609756,NA,4.375,6.25,6.9023569023569,0,1,8.5616,2.57394587791064,10,8.16019032513878,2.57487826028951,10,2,3,9.0333771786297,0.1,0.2
"187","Slovakia","SVK",1.6942606364718,7.56197545156629,0.327434016264498,1.75534556440861,6.02767427312201,5.61884583979917,5.16161992858824,1.34882395011393,3.56535987289301,10,0,0.327434016264498,1,4.42,0.861244019138754,1.35084427767354,NA,1.45833333333333,0.75,NA,0,1,7.14285714285711,2.1124396895322,10,9.41025641025641,0,0.327434016264498,1,2,1.75534556440861,0.3,0.5
"188","Sri Lanka","LKA",0.565614728541064,3.96699368208308,2.0141006138667,7.46828373356221,1.28607931326182,8.4970583144992,3.04721063298065,4.45278018189023,5.04087819384714,10,2.52151290774465,8.38400668916173,3,7.22,5.66985645933014,4.54033771106942,NA,2.29166666666667,4.25,7.90780141843971,0,0.5,10,3.49695825466751,10,5.59659976465022,2.52151290774465,8.88888888888889,2,2.5,7.05319455733056,0.1,0.2
"189","United Kingdom","GBR",4.69710407102384,0,1,2.11714692019329,6.90065559342353,0,0,0,5.69421734950122,10,0,0,1,0,0,3.75234521575985,NA,1.45833333333333,2.625,1.52482269503546,0,0.5,10,1.23138242080973,10,8.64102564102564,0,0,2,2.5,2.9395621512439,0.2,0.5
"190","Viet Nam","VNM",0.3860207427901,4.48920614223541,1.79692234445895,6.48360740060538,0.0925820099772841,5.46416899968721,0.622087455029474,2.94276494522378,4.99596858822497,10,10,6.97098945521831,2,4.18,5.52631578947368,3.60225140712945,NA,3.54166666666667,5.375,5.24822695035461,0,1,7.14285714285711,1.56702328508496,10,6.92891731130459,10,9.25925925925926,2,3,8.00978412763657,0.1,0.2
