"","Countryname","Country","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ","EXISTING_RISK_COVID_RESPONSE_CAPACITY","EXISTING_RISK_FOOD_SECURITY","EXISTING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EXISTING_RISK_FISCAL","EXISTING_RISK_SOCIOECONOMIC_VULNERABILITY","EXISTING_RISK_NATURAL_HAZARDS","EXISTING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EXISTING_COMPOUND_RISK_SCORE","TOTAL_EXISTING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_COVID_RESPONSE_CAPACITY","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_FISCAL","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","TOTAL_EMERGING_COMPOUND_RISK_SCORE","TOTAL_EMERGING_COMPOUND_RISK_SCORE_INCMEDIUM","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","RELIABILITY_SCORE_EXISTING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"122","Saudi Arabia","SAU",2.61235283506338,3.50785306565811,1.85844968373086,6.59603558740005,5.46743606664559,5.43796180304978,4.75764493377898,2.50162673674792,4.58752180601823,10,0,6.47477982928126,1,4.14,2.39234449760765,2.77673545966229,NA,0,4.125,5.95744680851064,0,1.5,7.14285714285711,2.61590098594504,10,7.57917224251977,0,7.03703703703704,1,2.5,7.30307577536306,0.1,0.2
"123","Senegal","SEN",0.993023328919553,3.35913814944779,2.68038878634981,8.02684020276247,1.94593593591019,5.52914356581817,3.53453090360565,4.83952171176841,9.41414826252479,8.36660026534076,5.10973250617037,8.27283000623467,3,6.42,7.39234449760765,10,7,3.125,3.125,6.84397163120567,1,1.5,4.76190476190474,4.83952171176841,10,8.86261875087985,5.10973250617037,10,2,2.5,9.41414826252479,0,0.2
"124","Sierra Leone","SLE",1.50193390973262,8.539559998792,0.394662544751908,8.94010109552365,5.68595371988392,7.97496081495075,6.01354019346855,NA,0,10,4.97631912480822,9.08978071656172,3,6.36,9.64114832535885,0,10,9.79166666666667,3.5,8.26241134751773,1,1.5,10,NA,10,9.35741937939,4.97631912480822,10,3,3.5,9.67337551188312,0,0.2
"125","Tanzania","TZA",0.0536492304000146,3.98260469204278,2.34972789490331,7.95489903360172,0.0258198889747319,0.0669328021227669,0.416544900233094,4.33606041535557,7.33632425640843,10,5.68341004602762,7.92664026887769,3,6.72,9.71291866028708,6.22889305816135,NA,4.79166666666667,3.5,7.37588652482269,0,1,0.000666666666667481,4.33606041535557,10,8.64064498982647,5.68341004602762,8.51851851851852,1,2,8.57936444952544,0.1,0.1
"126","Togo","TGO",1.55377472577214,4.92587754206403,2.12669831204199,8.85249835475651,9.75227733858769,8.6542876202999,8.55231430896969,7.07411190113818,8.75378978255404,10,2.98845974251217,8.38870492807861,5,7.5,8.68421052631579,8.78048780487805,10,5.625,1.75,10,2,3.5,9.98622589531681,5.76253408852528,10,8.72717293845291,2.98845974251217,7.03703703703704,1,2.5,7.83667271209667,0,0.2
"127","Turkey","TUR",2.18404878281491,5.14107421635918,3.63860133901313,7.67337075056944,2.27288693491973,4.26431387993771,2.82852647343408,1.40390047810888,3.20331405819111,10,10,8.69090990021281,3,3.52,0.454545454545453,1.68855534709193,NA,6.45833333333333,8.625,7.5531914893617,0,0,5.16601501892881,4.33606041535557,10,6.07692307692308,10,10,3,3,7.79546219086661,0.1,0.1
"128","Turkmenistan","TKM",1,6.55385913555226,2.17964039409522,9.53214232520159,1,0,2.76405499221705,3.5442050528746,0,4,0,9.44262872887553,1,7.64,3.27751196172249,0,NA,1.875,1.5,9.25925925925926,0,0.5,0,3.83259911894273,4,10,0,9.62962962962963,1,1.5,9.81306762925316,0.1,0.4
"129","Tuvalu","TUV",NA,7.48717948717949,1,2.73627109168289,NA,NA,NA,NA,6.31618275718171,10,0.0533653525448603,0,1,9.68,NA,5.32833020637899,NA,9.79166666666667,0.75,NA,0,0.5,NA,NA,10,7.48717948717949,0.0533653525448603,0,1,1.5,2.73627109168289,0.4,0.7
"130","Uzbekistan","UZB",1.10232400708593,4.70440797833204,4.132767633351,8.15919183389747,2.93046396456585,5.07469723234796,4.57422263417514,4.13652738962895,6.02452495592269,5.47722557505166,0,8.16496580927726,1,7.14,3.25358851674641,3.63977485928705,3,6.45833333333333,3.5,6.66666666666666,0,0.5,3.6068,5.25907279211244,10,9.97174340383367,0,10,2,2.5,9.98586170735089,0,0.2
"131","Vanuatu","VUT",9.52380952380948,6.46153846153846,0.629934042227397,2.017509118216,9.52380952380948,9.14434511701342,9.14434511701342,0,8.038369524685,8.36660026534076,2.52151290774465,0.629934042227397,3,8.78,8.22966507177033,10,7,1.45833333333333,2.5,NA,1,1.5,9.52380952380948,0,10,6.46153846153846,2.52151290774465,0.629934042227397,1,1.5,2.017509118216,0.1,0.5
